blogspot.com, 142.250.72.201
ifeng.com, 82.156.59.186
alipay.com, 110.75.130.45
amazon.com, 98.87.170.71
microsoft.com, 13.107.226.66
wikipedia.org, 208.80.154.224
msn.com, 204.79.197.219
bing.com, 150.171.27.10
baidu.com, NOT_RESOLVED
softonic.com, 151.101.65.91
bbc.co.uk, 151.101.128.81
tudou.com, 106.11.43.246
wordpress.com, 192.0.78.9
yandex.ru, 77.88.55.88
nifty.com, 75.2.109.238
yahoo.co.jp, 182.22.31.124
imageshack.us, 208.94.3.19
soku.com, 106.11.47.19
apple.com, 17.253.144.10
alibaba.com, 47.246.136.52
cnet.com, 199.232.194.154
ask.com, 199.232.66.114
go.com, 76.223.18.1
windows.com, 20.231.239.246
twitter.com, 172.66.0.227
mywebsearch.com, 199.232.66.114
4399.com, 129.211.129.109
partypoker.com, 195.72.134.91
sdjjdsaf.com, NOT_RESOLVED
skype.com, 20.70.246.20
orkut.com, 216.239.38.21
hotmail.com, 204.79.197.212
walmart.com, 184.28.148.163
rakuten.co.jp, 133.237.182.225
youtube.com, 142.250.72.206
ebay.com, 23.45.123.47
livedoor.jp, 147.92.240.79
wmfo.org, 23.92.21.128
live.com, 204.79.197.212
myspace.com, 34.111.176.156
yahoo.com, 74.6.231.20
facebook.com, 57.144.104.1
vkontakte.ru, 87.240.132.67
answers.com, 151.101.64.203
rapidshare.com, 0.0.0.0
seesaa.net, 138.2.21.1
tmall.com, 59.82.44.45
amazon.co.jp, 18.246.99.104
7k7k.com, 106.75.33.163
daum.net, 121.53.105.193
56.com, 219.136.249.83
paypal.com, 151.101.3.1
megaupload.com, NOT_RESOLVED
dailymotion.com, 195.8.215.136
imdb.com, 98.82.158.179
craigslist.org, 208.82.237.129
163.com, 59.111.160.244
jp.msn.com, NOT_RESOLVED
blogger.com, 142.250.188.41
weather.com, 184.30.90.53
cnn.com, 151.101.131.5
andysayler.com, 159.89.253.85
adobe.com, 23.222.27.34
taobao.com, 59.82.122.165
about.com, 162.159.141.224
naver.com, 223.130.200.236
youku.com, 106.11.43.71
flickr.com, 99.84.118.11
fc2.com, 199.48.210.152
ehow.com, 104.21.25.184
aol.com, 76.223.84.192
ku6.com, 106.75.9.182
mediafire.com, 104.17.147.83
hp.com, 108.157.142.65
zynga.com, 108.138.167.117
photobucket.com, 18.160.143.4
2345.com, 103.255.201.148
4shared.com, 204.155.149.43
orkut.com.br, 208.109.60.213
goo.ne.jp, 52.197.38.248
mail.ru, 89.221.239.1
mozilla.com, 35.190.14.201
ameblo.jp, 199.232.214.133
qq.com, 113.108.81.189
360.cn, 106.63.103.5
ebay.de, 23.206.172.57
sina.com.cn, 36.51.254.91
hao123.com, 110.242.69.86
sohu.com, 61.135.164.50
sogou.com, 43.153.236.147
renren.com, 49.74.197.110
kugou.com, 183.2.141.58
xunlei.com, 112.124.227.84
pps.tv, 111.206.13.64
paipai.com, 36.110.181.228
soso.com, 43.153.249.87
tianya.cn, NOT_RESOLVED
